# tracer: nop
#
# entries-in-buffer/entries-written: 14477/14477   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   systemd-sleep-476241  [014] ..... 24996.959771: suspend_resume: suspend_enter[3] begin
   systemd-sleep-476241  [014] ..... 24996.959774: suspend_resume: sync_filesystems[0] begin
   systemd-sleep-476241  [002] ..... 24997.039712: suspend_resume: sync_filesystems[0] end
   systemd-sleep-476241  [002] ..... 24997.138369: suspend_resume: freeze_processes[0] begin
   systemd-sleep-476241  [002] ..... 24997.142758: suspend_resume: freeze_processes[0] end
   systemd-sleep-476241  [002] ..... 24997.142759: suspend_resume: suspend_enter[3] end
   systemd-sleep-476241  [012] ..... 24997.142842: suspend_resume: dpm_prepare[2] begin
   systemd-sleep-476241  [012] ..... 24997.143336: suspend_resume: dpm_prepare[2] end
   systemd-sleep-476241  [012] ..... 24997.143337: suspend_resume: dpm_suspend[2] begin
   systemd-sleep-476241  [012] ..... 24997.144013: smbus_write: i2c-11 a=02c f=0040 c=4 BLOCK_DATA l=2 [01-f5]
   systemd-sleep-476241  [012] ..... 24997.144760: smbus_result: i2c-11 a=02c f=0000 c=4 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24997.152138: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24997.153197: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24997.153199: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24997.153203: smbus_read: i2c-11 a=02c f=0040 c=5 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24997.155577: smbus_reply: i2c-11 a=02c f=0000 c=5 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24997.155578: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA rd res=0
   systemd-sleep-476241  [012] ..... 24997.155623: smbus_write: i2c-11 a=02c f=0040 c=4 BLOCK_DATA l=2 [01-f6]
   systemd-sleep-476241  [012] ..... 24997.156685: smbus_result: i2c-11 a=02c f=0000 c=4 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24997.164436: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24997.165725: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24997.165727: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24997.165731: smbus_read: i2c-11 a=02c f=0040 c=5 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24997.168102: smbus_reply: i2c-11 a=02c f=0000 c=5 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24997.168103: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA rd res=0
   systemd-sleep-476241  [012] ..... 24997.168141: smbus_write: i2c-11 a=02c f=0040 c=4 BLOCK_DATA l=2 [01-f4]
   systemd-sleep-476241  [012] ..... 24997.168870: smbus_result: i2c-11 a=02c f=0000 c=4 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24997.176840: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24997.178142: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [009] ..... 24997.178143: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24997.178147: smbus_read: i2c-11 a=02c f=0040 c=5 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24997.180577: smbus_reply: i2c-11 a=02c f=0000 c=5 BLOCK_DATA l=15 [0e-01-fa-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [009] ..... 24997.180578: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA rd res=0
  kworker/u64:37-447016  [003] ..... 24997.180928: smbus_write: i2c-11 a=02c f=0040 c=86 BLOCK_DATA l=5 [04-14-00-01-01]
  kworker/u64:37-447016  [003] ..... 24997.182877: smbus_result: i2c-11 a=02c f=0000 c=86 BLOCK_DATA wr res=0
  kworker/u64:37-447016  [003] ..... 24997.182879: smbus_write: i2c-11 a=02c f=0040 c=6 BLOCK_DATA l=2 [01-81]
  kworker/u64:37-447016  [006] ..... 24997.184672: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA wr res=0
   systemd-sleep-476241  [014] ..... 24997.526249: suspend_resume: dpm_suspend[2] end
   systemd-sleep-476241  [014] ..... 24997.526251: suspend_resume: dpm_suspend_late[2] begin
   systemd-sleep-476241  [014] ..... 24997.527836: suspend_resume: dpm_suspend_late[2] end
   systemd-sleep-476241  [014] ..... 24997.528008: suspend_resume: dpm_suspend_noirq[2] begin
   systemd-sleep-476241  [002] ..... 24997.590271: suspend_resume: dpm_suspend_noirq[2] end
   systemd-sleep-476241  [002] ..... 24997.595159: suspend_resume: CPU_OFF[15] begin
   systemd-sleep-476241  [002] ..... 24997.601119: suspend_resume: CPU_OFF[15] end
   systemd-sleep-476241  [002] ..... 24997.601120: suspend_resume: CPU_OFF[14] begin
   systemd-sleep-476241  [002] ..... 24997.606134: suspend_resume: CPU_OFF[14] end
   systemd-sleep-476241  [002] ..... 24997.606136: suspend_resume: CPU_OFF[13] begin
   systemd-sleep-476241  [002] ..... 24997.611573: suspend_resume: CPU_OFF[13] end
   systemd-sleep-476241  [002] ..... 24997.611574: suspend_resume: CPU_OFF[12] begin
   systemd-sleep-476241  [002] ..... 24997.616603: suspend_resume: CPU_OFF[12] end
   systemd-sleep-476241  [002] ..... 24997.616604: suspend_resume: CPU_OFF[11] begin
   systemd-sleep-476241  [002] ..... 24997.621916: suspend_resume: CPU_OFF[11] end
   systemd-sleep-476241  [002] ..... 24997.621917: suspend_resume: CPU_OFF[10] begin
   systemd-sleep-476241  [002] ..... 24997.627492: suspend_resume: CPU_OFF[10] end
   systemd-sleep-476241  [002] ..... 24997.627493: suspend_resume: CPU_OFF[9] begin
   systemd-sleep-476241  [002] ..... 24997.632628: suspend_resume: CPU_OFF[9] end
   systemd-sleep-476241  [002] ..... 24997.632629: suspend_resume: CPU_OFF[8] begin
   systemd-sleep-476241  [002] ..... 24997.637882: suspend_resume: CPU_OFF[8] end
   systemd-sleep-476241  [002] ..... 24997.637883: suspend_resume: CPU_OFF[7] begin
   systemd-sleep-476241  [003] ..... 24997.643113: suspend_resume: CPU_OFF[7] end
   systemd-sleep-476241  [003] ..... 24997.643115: suspend_resume: CPU_OFF[6] begin
   systemd-sleep-476241  [003] ..... 24997.647611: suspend_resume: CPU_OFF[6] end
   systemd-sleep-476241  [003] ..... 24997.647612: suspend_resume: CPU_OFF[5] begin
   systemd-sleep-476241  [003] ..... 24997.651830: suspend_resume: CPU_OFF[5] end
   systemd-sleep-476241  [003] ..... 24997.651831: suspend_resume: CPU_OFF[4] begin
   systemd-sleep-476241  [003] ..... 24997.655297: suspend_resume: CPU_OFF[4] end
   systemd-sleep-476241  [003] ..... 24997.655298: suspend_resume: CPU_OFF[3] begin
   systemd-sleep-476241  [002] ..... 24997.659053: suspend_resume: CPU_OFF[3] end
   systemd-sleep-476241  [002] ..... 24997.659055: suspend_resume: CPU_OFF[2] begin
   systemd-sleep-476241  [001] ..... 24997.662711: suspend_resume: CPU_OFF[2] end
   systemd-sleep-476241  [001] ..... 24997.662712: suspend_resume: CPU_OFF[1] begin
   systemd-sleep-476241  [000] ..... 24997.666501: suspend_resume: CPU_OFF[1] end
   systemd-sleep-476241  [000] d.... 24997.666503: suspend_resume: syscore_suspend[0] begin
