# tracer: nop
#
# entries-in-buffer/entries-written: 13608/13608   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 irq/95-rmi4_smb-439863  [015] ..... 25140.132730: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.132731: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.135843: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.137062: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.137063: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.137065: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.141248: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-23-01-e1-00-49-05-05-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.141248: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.141249: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.145163: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.145165: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.145166: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.147673: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.147674: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.150697: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.151934: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
